cell_id,true_state,true_branch,true_pseudotime,spatial_x,spatial_y,true_spatial_domain
CELL_0070,root_progenitor,root,0.0448,-0.0381,0.0958,left_progenitor_region
CELL_0827,branch_b_terminal,branch_b,0.8634,2.9773,-1.3711,lower_terminal_region
CELL_0231,transition_state,transition,0.2234,0.1351,-0.2344,left_progenitor_region
CELL_0588,branch_a_terminal,branch_a,0.8613,2.9387,1.2402,upper_terminal_region
CELL_0039,root_progenitor,root,0.0454,-0.4392,0.082,left_progenitor_region
CELL_0731,branch_b_terminal,branch_b,0.6302,2.3159,-0.8492,lower_terminal_region
CELL_0299,transition_state,transition,0.3052,0.3972,0.1239,left_progenitor_region
CELL_0110,root_progenitor,root,0.107,-0.0473,0.0822,left_progenitor_region
CELL_0072,root_progenitor,root,0.052,-0.0313,0.3704,left_progenitor_region
CELL_0086,root_progenitor,root,0.0715,-0.1179,0.1148,left_progenitor_region
CELL_0139,root_progenitor,root,0.1706,-0.4977,-0.3738,left_progenitor_region
CELL_0533,branch_a_terminal,branch_a,0.7123,2.379,0.9626,upper_terminal_region
CELL_0801,branch_b_terminal,branch_b,0.7956,2.9521,-1.0966,lower_terminal_region
CELL_0120,root_progenitor,root,0.0942,0.0785,-0.2083,left_progenitor_region
CELL_0711,branch_b_terminal,branch_b,0.5993,2.5465,-0.8966,lower_terminal_region
CELL_0590,branch_a_terminal,branch_a,0.8516,2.756,1.2796,upper_terminal_region
CELL_0168,root_progenitor,root,0.1511,-0.1884,-0.2581,left_progenitor_region
CELL_0422,branch_a_terminal,branch_a,0.5161,2.0931,0.8739,transition_ring_region
CELL_0447,branch_a_terminal,branch_a,0.5561,1.9483,0.7085,transition_ring_region
CELL_0067,root_progenitor,root,0.0543,0.2671,0.0582,left_progenitor_region
CELL_0211,root_progenitor,root,0.1728,0.5132,0.043,left_progenitor_region
CELL_0741,branch_b_terminal,branch_b,0.6953,2.2231,-1.1463,lower_terminal_region
CELL_0688,branch_b_terminal,branch_b,0.5764,2.0125,-0.4874,transition_ring_region
CELL_0333,transition_state,transition,0.419,0.3768,-0.3087,left_progenitor_region
CELL_0542,branch_a_terminal,branch_a,0.7505,2.7853,0.9708,upper_terminal_region
CELL_0344,transition_state,transition,0.4183,0.862,0.168,central_transition_region
CELL_0030,root_progenitor,root,0.0595,0.12,-0.4361,left_progenitor_region
CELL_0837,branch_b_terminal,branch_b,0.8582,2.8733,-1.211,lower_terminal_region
CELL_0658,branch_a_terminal,branch_a,1.0,2.8214,1.5435,upper_terminal_region
CELL_0522,branch_a_terminal,branch_a,0.6874,2.5596,1.4117,upper_terminal_region
CELL_0260,transition_state,transition,0.287,0.4687,0.1773,left_progenitor_region
CELL_0756,branch_b_terminal,branch_b,0.7003,2.2001,-1.3387,lower_terminal_region
CELL_0298,transition_state,transition,0.3129,0.4787,-0.0548,left_progenitor_region
CELL_0531,branch_a_terminal,branch_a,0.7447,2.5057,1.5016,upper_terminal_region
CELL_0615,branch_a_terminal,branch_a,0.9062,3.1986,1.2027,upper_terminal_region
CELL_0675,branch_b_terminal,branch_b,0.5373,1.9747,-0.8228,transition_ring_region
CELL_0023,root_progenitor,root,0.0187,0.0389,0.0879,left_progenitor_region
CELL_0589,branch_a_terminal,branch_a,0.8647,3.1981,1.117,upper_terminal_region
CELL_0431,branch_a_terminal,branch_a,0.5448,2.1516,0.7795,transition_ring_region
CELL_0209,root_progenitor,root,0.1859,0.1449,0.1311,left_progenitor_region
CELL_0063,root_progenitor,root,0.0663,-0.1478,0.1477,left_progenitor_region
CELL_0239,transition_state,transition,0.2309,0.4326,-0.3071,left_progenitor_region
CELL_0370,transition_state,transition,0.4608,0.4775,-0.0727,left_progenitor_region
CELL_0744,branch_b_terminal,branch_b,0.6711,2.701,-1.0156,lower_terminal_region
CELL_0652,branch_a_terminal,branch_a,0.976,3.0004,1.561,upper_terminal_region
CELL_0625,branch_a_terminal,branch_a,0.9295,2.8888,1.4962,upper_terminal_region
CELL_0215,root_progenitor,root,0.2114,0.462,-0.0435,left_progenitor_region
CELL_0519,branch_a_terminal,branch_a,0.7033,2.1997,1.0957,central_transition_region
CELL_0494,branch_a_terminal,branch_a,0.661,2.4184,0.8527,upper_terminal_region
CELL_0832,branch_b_terminal,branch_b,0.8471,3.0904,-1.459,lower_terminal_region
CELL_0453,branch_a_terminal,branch_a,0.5371,1.9489,0.8381,transition_ring_region
CELL_0352,transition_state,transition,0.4398,0.6266,-0.054,left_progenitor_region
CELL_0549,branch_a_terminal,branch_a,0.7561,2.4574,1.1483,upper_terminal_region
CELL_0280,transition_state,transition,0.3041,0.5395,-0.3061,left_progenitor_region
CELL_0247,transition_state,transition,0.27,0.5827,0.2315,left_progenitor_region
CELL_0213,root_progenitor,root,0.1873,0.1538,-0.4327,left_progenitor_region
CELL_0137,root_progenitor,root,0.1377,-0.0772,0.2339,left_progenitor_region
CELL_0396,transition_state,transition,0.5047,0.7235,-0.1427,left_progenitor_region
CELL_0302,transition_state,transition,0.3289,0.1139,-0.0729,left_progenitor_region
CELL_0543,branch_a_terminal,branch_a,0.7549,2.5453,1.195,upper_terminal_region
CELL_0044,root_progenitor,root,0.0419,0.1457,0.4331,left_progenitor_region
CELL_0390,transition_state,transition,0.5049,0.5193,-0.0972,left_progenitor_region
CELL_0739,branch_b_terminal,branch_b,0.6489,2.4361,-0.9907,lower_terminal_region
CELL_0448,branch_a_terminal,branch_a,0.5886,2.1493,1.0373,transition_ring_region
CELL_0208,root_progenitor,root,0.1768,-0.0475,-0.2783,left_progenitor_region
CELL_0198,root_progenitor,root,0.1807,0.1785,0.0604,left_progenitor_region
CELL_0668,branch_b_terminal,branch_b,0.5046,2.1024,-0.775,transition_ring_region
CELL_0516,branch_a_terminal,branch_a,0.6952,2.253,0.9364,upper_terminal_region
CELL_0328,transition_state,transition,0.3708,0.7936,0.5618,left_progenitor_region
CELL_0449,branch_a_terminal,branch_a,0.573,2.4225,0.8304,upper_terminal_region
CELL_0626,branch_a_terminal,branch_a,0.9117,3.116,0.7841,upper_terminal_region
CELL_0583,branch_a_terminal,branch_a,0.862,3.0686,1.6048,upper_terminal_region
CELL_0826,branch_b_terminal,branch_b,0.8331,2.7462,-1.6667,lower_terminal_region
CELL_0314,transition_state,transition,0.3921,0.4161,0.0875,left_progenitor_region
CELL_0136,root_progenitor,root,0.1289,-0.0716,0.1135,left_progenitor_region
CELL_0843,branch_b_terminal,branch_b,0.8923,2.9797,-1.0565,lower_terminal_region
CELL_0361,transition_state,transition,0.4317,0.2873,-0.1086,left_progenitor_region
CELL_0493,branch_a_terminal,branch_a,0.6568,2.4211,1.2191,upper_terminal_region
CELL_0060,root_progenitor,root,0.0296,-0.5728,0.0761,left_progenitor_region
CELL_0664,branch_b_terminal,branch_b,0.4966,2.5296,-0.6894,lower_terminal_region
CELL_0525,branch_a_terminal,branch_a,0.7253,2.4795,0.6328,upper_terminal_region
CELL_0174,root_progenitor,root,0.1397,0.1371,0.047,left_progenitor_region
CELL_0536,branch_a_terminal,branch_a,0.751,2.6094,0.8381,upper_terminal_region
CELL_0066,root_progenitor,root,0.055,-0.1427,0.2034,left_progenitor_region
CELL_0820,branch_b_terminal,branch_b,0.8333,2.9293,-1.1684,lower_terminal_region
CELL_0777,branch_b_terminal,branch_b,0.7327,2.5298,-1.0811,lower_terminal_region
CELL_0381,transition_state,transition,0.5047,0.6131,0.1266,left_progenitor_region
CELL_0485,branch_a_terminal,branch_a,0.6505,2.1871,0.8096,transition_ring_region
CELL_0218,root_progenitor,root,0.1968,-0.2173,0.0443,left_progenitor_region
CELL_0575,branch_a_terminal,branch_a,0.8115,2.3947,0.8225,upper_terminal_region
CELL_0346,transition_state,transition,0.4223,0.426,-0.0481,left_progenitor_region
CELL_0545,branch_a_terminal,branch_a,0.7629,2.5235,1.0206,upper_terminal_region
CELL_0800,branch_b_terminal,branch_b,0.8012,2.8733,-1.152,lower_terminal_region
