gene,designed_signal_group,is_marker_gene
ROOT1,root_state,True
ROOT2,root_state,True
ROOT3,root_state,True
ROOT4,root_state,True
ROOT5,root_state,True
TRANS1,transition_state,True
TRANS2,transition_state,True
TRANS3,transition_state,True
TRANS4,transition_state,True
TRANS5,transition_state,True
A_TERM1,branch_a_terminal,True
A_TERM2,branch_a_terminal,True
A_TERM3,branch_a_terminal,True
A_TERM4,branch_a_terminal,True
A_TERM5,branch_a_terminal,True
B_TERM1,branch_b_terminal,True
B_TERM2,branch_b_terminal,True
B_TERM3,branch_b_terminal,True
B_TERM4,branch_b_terminal,True
B_TERM5,branch_b_terminal,True
CYCLE1,cycling,True
CYCLE2,cycling,True
CYCLE3,cycling,True
CYCLE4,cycling,True
LEFT1,spatial_domain_left,True
LEFT2,spatial_domain_left,True
LEFT3,spatial_domain_left,True
RIGHT1,spatial_domain_right,True
RIGHT2,spatial_domain_right,True
RIGHT3,spatial_domain_right,True
RING1,spatial_ring,True
RING2,spatial_ring,True
RING3,spatial_ring,True
NOISE01,noise,False
NOISE02,noise,False
NOISE03,noise,False
NOISE04,noise,False
NOISE05,noise,False
NOISE06,noise,False
NOISE07,noise,False
NOISE08,noise,False
NOISE09,noise,False
NOISE10,noise,False
NOISE11,noise,False
NOISE12,noise,False
NOISE13,noise,False
NOISE14,noise,False
NOISE15,noise,False
NOISE16,noise,False
NOISE17,noise,False
NOISE18,noise,False
NOISE19,noise,False
NOISE20,noise,False
NOISE21,noise,False
NOISE22,noise,False
NOISE23,noise,False
NOISE24,noise,False
NOISE25,noise,False
NOISE26,noise,False
NOISE27,noise,False
